update_time,value_time,status,value
2016-03-21 18:20:04.499,2016-03-21 18:19:55.838,nominal,23.5499992371
2016-03-21 18:20:14.498,2016-03-21 18:20:05.839,nominal,24.0799999237
2016-03-21 18:20:24.498,2016-03-21 18:20:15.838,nominal,24.0900001526
2016-03-21 18:20:34.498,2016-03-21 18:20:25.838,nominal,23.8400001526
2016-03-21 18:20:44.498,2016-03-21 18:20:35.838,nominal,24.0699996948
2016-03-21 18:20:54.498,2016-03-21 18:20:45.838,nominal,23.5
2016-03-21 18:21:04.498,2016-03-21 18:20:55.838,nominal,23.8600006104
2016-03-21 18:21:14.498,2016-03-21 18:21:05.840,nominal,23.7399997711
2016-03-21 18:21:24.498,2016-03-21 18:21:15.838,nominal,23.5
2016-03-21 18:21:34.498,2016-03-21 18:21:25.838,nominal,23.3950004578
2016-03-21 18:21:44.498,2016-03-21 18:21:35.838,nominal,23.0599994659
2016-03-21 18:21:54.498,2016-03-21 18:21:45.838,nominal,24.0049991608
2016-03-21 18:22:04.498,2016-03-21 18:21:55.840,nominal,23.4300003052
2016-03-21 18:22:14.498,2016-03-21 18:22:05.838,nominal,23.7350006104
2016-03-21 18:22:24.499,2016-03-21 18:22:15.838,nominal,24.0100002289
2016-03-21 18:22:34.498,2016-03-21 18:22:25.838,nominal,23.4099998474
2016-03-21 18:22:44.498,2016-03-21 18:22:35.838,nominal,23.6200008392
2016-03-21 18:22:54.498,2016-03-21 18:22:45.838,nominal,23.0799999237
2016-03-21 18:23:04.498,2016-03-21 18:22:55.838,nominal,23.3999996185
2016-03-21 18:23:14.498,2016-03-21 18:23:05.838,nominal,23.3199996948
2016-03-21 18:23:24.498,2016-03-21 18:23:15.838,nominal,24.0200004578
2016-03-21 18:23:34.499,2016-03-21 18:23:25.838,nominal,23.3999996185
2016-03-21 18:23:44.498,2016-03-21 18:23:35.838,nominal,23.3850002289
2016-03-21 18:23:54.498,2016-03-21 18:23:45.838,nominal,23.75
2016-03-21 18:24:04.499,2016-03-21 18:23:55.838,nominal,24
2016-03-21 18:24:14.498,2016-03-21 18:24:05.839,nominal,23.3649997711
2016-03-21 18:24:24.498,2016-03-21 18:24:15.838,nominal,23.3150005341
2016-03-21 18:24:34.498,2016-03-21 18:24:25.846,nominal,23.9549999237
2016-03-21 18:24:44.499,2016-03-21 18:24:35.838,nominal,23.3799991608
2016-03-21 18:24:54.498,2016-03-21 18:24:45.838,nominal,23.3500003815
2016-03-21 18:25:04.499,2016-03-21 18:24:55.838,nominal,23.9549999237
2016-03-21 18:25:14.498,2016-03-21 18:25:05.838,nominal,23.3400001526
2016-03-21 18:25:24.498,2016-03-21 18:25:15.838,nominal,23.4150009155
2016-03-21 18:25:34.498,2016-03-21 18:25:25.838,nominal,23.9799995422
2016-03-21 18:25:44.499,2016-03-21 18:25:35.839,nominal,23.9850006104
2016-03-21 18:25:54.498,2016-03-21 18:25:45.838,nominal,23.4400005341
2016-03-21 18:26:04.498,2016-03-21 18:25:55.838,nominal,23.4300003052
2016-03-21 18:26:14.499,2016-03-21 18:26:05.838,nominal,24.0699996948
2016-03-21 18:26:24.498,2016-03-21 18:26:15.838,nominal,23.4799995422
2016-03-21 18:26:34.499,2016-03-21 18:26:25.839,nominal,24.0799999237
2016-03-21 18:26:44.498,2016-03-21 18:26:35.838,nominal,23.4799995422
2016-03-21 18:26:54.498,2016-03-21 18:26:45.839,nominal,23.3899993896
2016-03-21 18:27:04.498,2016-03-21 18:26:55.838,nominal,23.9950008392
2016-03-21 18:27:14.498,2016-03-21 18:27:05.839,nominal,23.4799995422
2016-03-21 18:27:24.498,2016-03-21 18:27:15.839,nominal,23.4850006104
2016-03-21 18:27:34.498,2016-03-21 18:27:25.838,nominal,24.0799999237
2016-03-21 18:27:44.498,2016-03-21 18:27:35.838,nominal,24.1049995422
2016-03-21 18:27:54.498,2016-03-21 18:27:45.838,nominal,23.4899997711
2016-03-21 18:28:04.498,2016-03-21 18:27:55.839,nominal,23.9850006104
2016-03-21 18:28:14.498,2016-03-21 18:28:05.838,nominal,24.0200004578
2016-03-21 18:28:24.498,2016-03-21 18:28:15.839,nominal,23.4899997711
2016-03-21 18:28:34.499,2016-03-21 18:28:25.839,nominal,23.5750007629
2016-03-21 18:28:44.498,2016-03-21 18:28:35.839,nominal,24.0849990845
2016-03-21 18:28:54.498,2016-03-21 18:28:45.838,nominal,24.1049995422
2016-03-21 18:29:04.499,2016-03-21 18:28:55.838,nominal,22.9400005341
2016-03-21 18:29:14.498,2016-03-21 18:29:05.838,nominal,24.0550003052
2016-03-21 18:29:24.499,2016-03-21 18:29:15.839,nominal,24.0550003052
2016-03-21 18:29:34.498,2016-03-21 18:29:25.838,nominal,23.4449996948
2016-03-21 18:29:44.498,2016-03-21 18:29:35.838,nominal,23.6000003815
2016-03-21 18:29:54.498,2016-03-21 18:29:45.838,nominal,23.9750003815
2016-03-21 18:30:04.498,2016-03-21 18:29:55.838,nominal,22.8099994659
2016-03-21 18:30:14.499,2016-03-21 18:30:05.841,nominal,23.5400009155
2016-03-21 18:30:24.499,2016-03-21 18:30:15.839,nominal,24.0049991608
2016-03-21 18:30:34.499,2016-03-21 18:30:25.838,nominal,23.3250007629
2016-03-21 18:30:44.498,2016-03-21 18:30:35.838,nominal,22.9449996948
2016-03-21 18:30:54.498,2016-03-21 18:30:45.838,nominal,24.0400009155
2016-03-21 18:31:04.498,2016-03-21 18:30:55.838,nominal,24.0149993896
2016-03-21 18:31:14.498,2016-03-21 18:31:05.839,nominal,23.7950000763
2016-03-21 18:31:24.499,2016-03-21 18:31:15.838,nominal,24.0300006866
2016-03-21 18:31:34.498,2016-03-21 18:31:25.838,nominal,24.0499992371
2016-03-21 18:31:44.498,2016-03-21 18:31:35.838,nominal,23.6650009155
2016-03-21 18:31:54.499,2016-03-21 18:31:45.838,nominal,23.2199993134
2016-03-21 18:32:04.499,2016-03-21 18:31:55.838,nominal,24.0100002289
2016-03-21 18:32:14.498,2016-03-21 18:32:05.838,nominal,23.3449993134
2016-03-21 18:32:24.498,2016-03-21 18:32:15.840,nominal,22.9349994659
2016-03-21 18:32:34.498,2016-03-21 18:32:25.838,nominal,23.9950008392
2016-03-21 18:32:44.499,2016-03-21 18:32:35.838,nominal,23.9850006104
2016-03-21 18:32:54.498,2016-03-21 18:32:45.838,nominal,23.7600002289
2016-03-21 18:33:04.498,2016-03-21 18:32:55.839,nominal,23.4899997711
2016-03-21 18:33:14.498,2016-03-21 18:33:05.839,nominal,24.0149993896
2016-03-21 18:33:24.498,2016-03-21 18:33:15.838,nominal,23.3549995422
