# Output power of comb generator,Set for 10 MHz spacing, in Thomas box, no further attenuator
# Measured on Tektronix RTSA, 10 December 2014
# Freq,Peak dBm
10,-14.77229977
20,-25.82941818
30,-14.53526592
40,-24.57965851
50,-14.49358463
60,-23.28572464
70,-14.56365585
80,-21.99346733
90,-14.83440113
100,-20.53066826
110,-15.07594967
120,-18.42573547
130,-15.38974476
140,-15.96256733
150,-23.07403183
160,-20.67799568
170,-23.80885315
180,-22.51914787
190,-23.19818115
200,-22.59143639
210,-23.72415161
220,-26.06947708
230,-32.09994125
240,-26.41906548
250,-30.34876633
260,-24.6621685
270,-31.15873909
280,-24.86738586
290,-33.17116928
300,-24.71422768
310,-35.45787811
320,-24.15922737
330,-39.5194931
340,-24.07688141
350,-47.06028748
360,-24.21447372
370,-48.10311127
380,-24.38314438
390,-39.80576706
400,-24.82786751
410,-35.65693665
420,-25.44053841
430,-32.93769836
440,-26.04810715
450,-30.79979706
460,-26.49718857
470,-28.9949131
480,-27.11989975
490,-28.01533699
500,-28.14790344
510,-27.32966042
520,-29.38905144
530,-26.9895134
540,-30.84528351
550,-26.84456253
560,-32.59646606
570,-26.83264351
580,-34.14307022
590,-26.85905457
600,-35.65044785
610,-27.19076157
620,-37.18914795
630,-27.71225166
640,-38.4818573
650,-28.54522896
660,-39.51168823
670,-29.68561745
680,-40.27607727
690,-31.12581253
700,-40.80026627
710,-32.92565155
720,-41.60952377
730,-36.28003693
740,-44.48212433
750,-39.42333984
760,-43.59448242
770,-35.83475494
780,-41.43465042
790,-34.75640106
800,-40.51265335
810,-34.79929733
820,-39.91222763
830,-35.10185242
840,-39.3380127
850,-35.02934647
860,-38.32826614
870,-34.96690369
880,-37.81602478
890,-35.30931091
900,-37.58233261
910,-35.82028198
920,-37.52451324
930,-36.37595367
940,-37.50863647
950,-36.95318985
960,-37.55136871
970,-37.61110687
980,-37.61751938
990,-38.1032753
1000,-37.29911804
1010,-38.33891296
1020,-36.94313431
1030,-38.65358353
1040,-36.72471237
1050,-39.07543182
1060,-36.56518555
1070,-39.64532089
1080,-36.61475372
1090,-40.26430893
1100,-36.80718231
1110,-40.92901993
1120,-36.94170761
1130,-41.21430969
1140,-36.76294327
1150,-41.33431244
1160,-36.60912323
1170,-41.34347534
1180,-36.4569664
1190,-41.15850449
1200,-36.46564865
1210,-41.04530334
1220,-36.62263489
1230,-40.98341751
1240,-37.01673889
1250,-40.89721298
1260,-37.31243515
1270,-40.75365448
1280,-37.87137985
1290,-41.00810623
1300,-38.57156372
1310,-41.15705109
1320,-38.23090744
1330,-40.49689484
1340,-37.79894638
1350,-39.76537704
1360,-37.97257233
1370,-39.64741898
1380,-38.54914093
1390,-39.707798
1400,-38.96294403
1410,-39.42624664
1420,-38.9196701
1430,-39.00183105
1440,-38.9463768
1450,-38.63011169
1460,-38.97327805
1470,-38.40468597
1480,-39.32025909
1490,-38.51955414
1500,-39.95099258
1510,-38.79544449
1520,-40.51433945
1530,-39.02738571
1540,-40.81481171
1550,-38.83775711
1560,-40.90245056
1570,-38.82376862
1580,-40.92684174
1590,-38.73804092
1600,-40.98531723
1610,-38.76747513
1620,-41.04776001
1630,-38.91915512
1640,-41.17812347
1650,-39.2454071
1660,-41.46086121
1670,-39.90969086
1680,-42.10671234
1690,-40.69650269
1700,-42.62911224
1710,-41.70344543
1720,-43.68492508
1730,-43.49419022
1740,-45.94590378
1750,-46.95428085
1760,-52.13499069
1770,-50.93542862
1780,-47.02424622
1790,-45.29525375
1800,-51.3339119
1810,-52.86005783
1820,-55.27381134
1830,-50.32960129
1840,-49.63298035
1850,-46.26361847
1860,-45.93640137
1870,-43.98683548
1880,-43.66883469
1890,-42.71095657
1900,-42.28505325
1910,-41.89810181
1920,-41.14200974
1930,-41.15993118
1940,-40.22073364
1950,-40.80220413
1960,-39.6926651
1970,-40.65662384
1980,-39.56927872
1990,-41.23291016
2000,-40.30091858
2010,-42.51215744
2020,-41.21486664
2030,-43.27172852
2040,-41.89772415
2050,-44.78422546
2060,-43.81314087
2070,-47.10836411
2080,-46.02540588
2090,-48.90470886
2100,-47.34450531
2110,-49.00565338
2120,-46.77781296
2130,-47.50894165
2140,-45.55936813
2150,-46.43827438
2160,-44.80590439
2170,-45.46997833
2180,-44.10653687
2190,-44.62192535
2200,-43.47875214
2210,-43.79440308
2220,-43.08517456
2230,-43.58490753
2240,-43.37390137
2250,-43.13280869
2260,-42.50030518
2270,-41.97412491
2280,-42.05910873
2290,-41.79000092
2300,-42.59473419
2310,-42.38227463
2320,-43.60917282
2330,-43.35886765
2340,-44.79339218
2350,-44.47007751
2360,-45.61611176
2370,-44.69168854
2380,-45.67866898
2390,-44.74937057
2400,-46.00872803
2410,-44.9751091
2420,-45.60289001
2430,-43.80876541
2440,-44.2130928
2450,-42.74048615
2460,-43.28896332
2470,-42.34801102
2480,-43.32649231
2490,-42.7314415
2500,-43.83908463
2510,-43.53651047
2520,-44.5219841
2530,-44.07686234
2540,-45.13763809
2550,-44.9031868
2560,-45.97512054
2570,-45.52479935
2580,-45.87143707
2590,-45.04460907
2600,-44.8372345
2610,-44.04094696
2620,-43.69119644
2630,-43.38045883
2640,-43.32817459
2650,-43.55448151
2660,-43.3165741
2670,-43.76852798
2680,-43.52478409
2690,-44.13473129
2700,-43.93238831
2710,-44.63224411
2720,-44.32872391
2730,-44.95140457
2740,-44.43393707
2750,-45.21105194
2760,-44.89955902
2770,-45.72698593
2780,-45.52355957
2790,-46.28084946
2800,-45.84867859
2810,-46.38570786
2820,-45.90365601
2830,-46.46758652
2840,-46.62262726
2850,-47.33921051
2860,-46.90033722
2870,-47.54578018
2880,-47.6322937
2890,-49.1321373
2900,-49.1457901
2910,-49.21631622
2920,-48.94721603
2930,-49.36218643
2940,-49.15069962
2950,-50.04785156
2960,-50.71488571
2970,-52.20222855
2980,-54.19169998
2990,-55.52733612
3000,-72.50914764
